0,-0.98028,0.30042,0.0207
1,-0.98028,0.30042,0.0207
2,-0.98028,0.30042,0.0207
3,-0.98046,0.29484,0.02676
4,-0.98046,0.29484,0.0114
5,-0.98796,0.30648,0.01524
6,-0.98796,0.30648,-0.00012
7,-0.98922,0.30534,-0.00612
8,-0.98922,0.30534,-0.03684
9,-0.98364,0.29394,-0.04428
10,-0.98364,0.29394,-0.04428
11,-0.98364,0.29394,-0.04428
12,-0.98364,0.29394,-0.05622
13,-0.99114,0.29394,-0.05622
14,-0.99114,0.29394,-0.07158
15,-1.02336,0.29256,-0.06786
16,-1.02336,0.29256,-0.08322
17,-1.03134,0.3,-0.08436
18,-1.03134,0.3,-0.08436
19,-1.05666,0.29196,-0.07992
20,-1.05666,0.29196,-0.07992
21,-1.05666,0.29196,-0.11064
22,-1.08312,0.31404,-0.11316
23,-1.08312,0.31404,-0.11316
24,-1.08312,0.31404,-0.15924
25,-1.09854,0.33672,-0.16476
26,-1.09854,0.33672,-0.21084
27,-1.10478,0.33582,-0.2094
28,-1.10478,0.33582,-0.25548
29,-1.10394,0.32424,-0.25206
30,-1.10394,0.32424,-0.25206
31,-1.1193,0.3462,-0.25686
32,-1.1193,0.3462,-0.25686
33,-1.1193,0.3462,-0.25686
34,-1.1193,0.3462,-0.3423
35,-1.11534,0.35226,-0.3423
36,-1.11534,0.35226,-0.38838
37,-1.07718,0.339,-0.39312
38,-1.07718,0.339,-0.42384
39,-1.05054,0.32934,-0.41856
40,-1.05054,0.32934,-0.46464
41,-1.01964,0.33372,-0.47496
42,-1.01964,0.33372,-0.47496
43,-1.01964,0.33372,-0.47496
44,-1.00236,0.32142,-0.4968
45,-1.00236,0.32142,-0.4968
46,-1.00236,0.32142,-0.50064
47,-0.9744,0.31056,-0.50064
48,-0.9744,0.31056,-0.50064
49,-0.95052,0.29772,-0.49536
50,-0.95052,0.29772,-0.51072
51,-0.9183,0.27834,-0.51678
52,-0.9183,0.27834,-0.51678
53,-0.9183,0.255,-0.51132
54,-0.92022,0.255,-0.51132
55,-0.92022,0.255,-0.51132
56,-0.92022,0.255,-0.51132
57,-0.9048,0.21786,-0.50898
58,-0.9048,0.21786,-0.5397
59,-0.8799,0.19698,-0.54306
60,-0.8799,0.19698,-0.54306
61,-0.83382,0.15756,-0.54666
62,-0.83382,0.15756,-0.57738
